repository_name,repository_url,observation_period,total_commits,commit_frequency,unique_authors,avg_commit_size,code_churn,avg_files_per_commit,merge_commits,avg_dmm_unit_size,avg_dmm_complexity,merge_commit_rate,project_id,dataset_type,indicator_planning_effectiveness,indicator_team_collaboration,indicator_coding_discipline,indicator_implementation_stability,indicator_change_manageability,indicator_configuration_management,indicator_design_quality,author_diversity_ratio,indicator_resource_distribution,proxy_SWE_1_score,proxy_SWE_2_3_score,proxy_SWE_4_score,proxy_SWE_5_score,proxy_SUP_1_8_score,proxy_MAN_3_score,repository_aspice_readiness_score,aspice_readiness_level
autoware,https://github.com/autowarefoundation/autoware.git,2023-08-01,2,2,2,6.0,12,1.0,0,,,0.0,autoware-2023-08,Public repository-derived,19.35483870967742,39.516129032258064,94.35483870967742,99.33119623624917,95.16129032258064,100.0,,1.0,90.32258064516128,57.25806451612903,96.8430174729633,94.75806451612902,99.66559811812459,78.22580645161291,49.73118279569892,81.29769086015305,High
autoware,https://github.com/autowarefoundation/autoware.git,2023-09-01,5,5,2,112.8,564,2.0,0,,,0.0,autoware-2023-09,Public repository-derived,41.935483870967744,39.516129032258064,51.61290322580645,99.71696392443147,73.38709677419355,100.0,,0.4,41.935483870967744,57.66129032258065,75.66493357511897,62.5,99.85848196221573,70.96774193548386,41.12903225806452,69.9433927848863,Moderate
autoware,https://github.com/autowarefoundation/autoware.git,2023-10-01,1,1,1,164.0,164,3.0,0,,,0.0,autoware-2023-10,Public repository-derived,7.258064516129033,15.32258064516129,48.38709677419355,99.43742212140081,57.25806451612903,100.0,,1.0,90.32258064516128,32.25806451612903,73.91225944779718,52.822580645161295,99.7187110607004,57.526881720430104,37.634408602150536,61.76248442428016,Moderate
autoware,https://github.com/autowarefoundation/autoware.git,2023-11-01,15,15,7,13.866666666666667,208,3.4,0,,,0.0,autoware-2023-11,Public repository-derived,79.03225806451613,86.29032258064517,79.03225806451613,99.46817171973419,53.225806451612904,100.0,,0.4666666666666667,46.774193548387096,66.12903225806451,89.25021489212516,66.12903225806451,99.7340858598671,79.83870967741935,70.6989247311828,80.21621498910812,High
autoware,https://github.com/autowarefoundation/autoware.git,2023-12-01,3,3,3,26.333333333333332,79,1.3333333333333333,0,,,0.0,autoware-2023-12,Public repository-derived,29.03225806451613,53.2258064516129,69.35483870967742,99.3780194882568,85.48387096774194,100.0,,1.0,90.32258064516128,57.25806451612903,84.3664290989671,77.41935483870968,99.6890097441284,79.56989247311829,57.526881720430104,77.57721680087717,High
autoware,https://github.com/autowarefoundation/autoware.git,2024-01-01,2,2,2,6.0,12,1.0,0,,,0.0,autoware-2024-01,Public repository-derived,19.35483870967742,39.516129032258064,94.35483870967742,99.33119623624917,95.16129032258064,100.0,,1.0,90.32258064516128,57.25806451612903,96.8430174729633,94.75806451612902,99.66559811812459,78.22580645161291,49.73118279569892,81.29769086015305,High
autoware,https://github.com/autowarefoundation/autoware.git,2024-02-01,10,10,8,35.2,352,2.4,0,,,0.0,autoware-2024-02,Public repository-derived,65.32258064516128,92.74193548387096,64.51612903225806,99.56880676882521,67.74193548387098,100.0,,0.8,78.2258064516129,66.53225806451613,82.04246790054164,66.12903225806451,99.7844033844126,86.82795698924731,78.76344086021506,81.1032774827973,High
autoware,https://github.com/autowarefoundation/autoware.git,2024-03-01,8,8,4,296.875,2375,11.25,0,,,0.0,autoware-2024-03,Public repository-derived,57.25806451612904,61.29032258064516,45.16129032258065,99.01741056234725,43.548387096774185,100.0,,0.5,55.64516129032258,50.403225806451616,72.08935044246395,44.354838709677416,99.50870528117363,68.2795698924731,58.064516129032256,67.48493372537268,Moderate
autoware,https://github.com/autowarefoundation/autoware.git,2024-04-01,13,13,10,10.846153846153847,141,1.5384615384615385,0,,,0.0,autoware-2024-04,Public repository-derived,74.19354838709677,98.38709677419355,83.87096774193549,99.42134846772655,80.64516129032258,100.0,,0.7692307692307693,75.80645161290323,77.41935483870967,91.64615810483102,82.25806451612902,99.71067423386327,93.01075268817203,82.79569892473118,88.59394711290015,High
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2017-03-01,2,2,1,18925.0,37850,124.5,0,0.34547576024581916,0.8028543602037759,0.0,opSimulation-2017-03,Public repository-derived,19.35483870967742,15.32258064516129,9.677419354838719,74.22554690606627,16.129032258064512,100.0,34.48275862068965,0.5,55.64516129032258,17.741935483870968,39.46190829386488,12.903225806451616,87.11277345303313,43.817204301075265,30.10752688172043,41.000420220347344,Moderate
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2017-09-01,6,6,1,14907.833333333334,89447,101.0,0,0.225504641225873,0.8827906291439517,0.0,opSimulation-2017-09,Public repository-derived,46.774193548387096,15.32258064516129,12.903225806451616,38.166750878634815,17.74193548387096,100.0,24.13793103448276,0.16666666666666666,15.32258064516129,32.258064516129025,25.06930257318973,15.322580645161288,69.08337543931741,44.354838709677416,25.806451612903228,36.49182592508207,Low
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2017-10-01,2,2,1,22.0,44,2.0,0,,,0.0,opSimulation-2017-10,Public repository-derived,19.35483870967742,15.32258064516129,72.58064516129032,99.3535595804916,73.38709677419355,100.0,,0.5,55.64516129032258,46.37096774193549,85.96710237089096,72.98387096774194,99.6767797902458,62.90322580645161,30.10752688172043,68.98361514190478,Moderate
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2017-12-01,3,3,2,4481.666666666667,13445,48.0,0,0.4050377833753149,0.6282115869017633,0.0,opSimulation-2017-12,Public repository-derived,29.03225806451613,39.516129032258064,22.58064516129032,91.28109116347395,25.80645161290323,100.0,72.41379310344828,0.6666666666666666,68.54838709677419,27.41935483870968,62.091843142737524,24.193548387096776,95.64054558173697,55.107526881720425,45.69892473118279,54.40938097070135,Moderate
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2018-01-01,4,4,2,8606.75,34427,144.25,2,0.6848777543012375,0.8599456685783278,0.5,opSimulation-2018-01,Public repository-derived,36.29032258064516,39.516129032258064,17.74193548387096,76.61772588550106,14.516129032258064,0.0,27.58620689655173,0.5,55.64516129032258,25.403225806451612,40.64862275530792,16.129032258064512,38.30886294275053,18.010752688172044,43.817204301075265,31.295529397676205,Low
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2018-02-01,13,13,1,3272.076923076923,42537,57.30769230769231,0,0.4925643974934127,0.7622094003140049,0.0,opSimulation-2018-02,Public repository-derived,74.19354838709677,15.32258064516129,27.41935483870968,70.95001582905458,19.354838709677423,100.0,37.93103448275862,0.07692307692307693,3.225806451612903,46.774193548387096,45.43346838350762,23.38709677419355,85.47500791452728,44.892473118279575,30.913978494623652,48.07685654992956,Moderate
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2018-05-01,8,8,2,122.25,978,5.5,2,0.5538922155688623,1.0,0.25,opSimulation-2018-05,Public repository-derived,57.25806451612904,39.516129032258064,50.0,99.99371030943182,49.193548387096776,0.0,6.896551724137936,0.25,25.0,53.22580645161291,52.296754011189925,49.596774193548384,49.99685515471591,29.569892473118284,40.59139784946237,46.406302478342454,Moderate
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2018-06-01,4,4,2,653.25,2613,14.75,0,0.1900145560407569,0.8471615720524017,0.0,opSimulation-2018-06,Public repository-derived,36.29032258064516,39.516129032258064,41.93548387096774,98.85108318954401,38.70967741935484,100.0,31.034482758620683,0.5,55.64516129032258,37.5,57.27368327304415,40.32258064516129,99.425541594772,59.40860215053764,43.817204301075265,58.49710303807936,Moderate
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2018-08-01,6,6,2,2503.3333333333335,15020,27.5,0,0.511009361009361,0.41296805046805046,0.0,opSimulation-2018-08,Public repository-derived,46.774193548387096,39.516129032258064,30.645161290322577,90.18039531404075,35.483870967741936,100.0,93.10344827586206,0.3333333333333333,37.096774193548384,41.12903225806451,71.30966829340846,33.064516129032256,95.09019765702038,58.333333333333336,41.12903225806451,59.32836028685997,Moderate
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2018-10-01,7,7,2,25545.0,178815,189.85714285714286,1,0.20491446006320146,0.6577421815408085,0.14285714285714285,opSimulation-2018-10,Public repository-derived,50.806451612903224,39.516129032258064,6.451612903225808,0.0,9.677419354838719,27.36077481840192,55.172413793103445,0.2857142857142857,30.64516129032258,30.24193548387097,20.541342232109752,8.064516129032263,13.68038740920096,25.518107735166236,40.32258064516129,22.466416927246755,Low
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2019-01-01,3,3,1,7439.0,22317,48.666666666666664,0,0.24976098595466556,0.6472456890557641,0.0,opSimulation-2019-01,Public repository-derived,29.03225806451613,15.32258064516129,20.967741935483872,85.08085397225408,24.19354838709677,100.0,62.06896551724138,0.3333333333333333,37.096774193548384,26.61290322580645,56.039187141659774,22.58064516129032,92.54042698612704,46.50537634408602,27.150537634408604,48.143342180396075,Moderate
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2019-02-01,1,1,1,3466.0,3466,57.0,0,1.0,1.0,0.0,opSimulation-2019-02,Public repository-derived,7.258064516129033,15.32258064516129,24.19354838709677,98.25496029458115,20.967741935483872,100.0,6.896551724137936,1.0,90.32258064516128,14.112903225806452,43.11502013527195,22.58064516129032,99.12748014729058,45.43010752688172,37.634408602150536,46.41220973393186,Moderate
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2019-03-01,1,1,1,102.0,102,3.0,0,0.0,1.0,0.0,opSimulation-2019-03,Public repository-derived,7.258064516129033,15.32258064516129,53.225806451612904,99.39409314193107,57.25806451612903,100.0,6.896551724137936,1.0,90.32258064516128,32.25806451612903,53.1721504392273,55.24193548387097,99.69704657096554,57.526881720430104,37.634408602150536,57.97303295042566,Moderate
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2019-06-01,1,1,1,599.0,599,47.0,0,0.6964285714285714,0.9464285714285714,0.0,opSimulation-2019-06,Public repository-derived,7.258064516129033,15.32258064516129,43.548387096774185,99.74142383219665,27.41935483870968,100.0,20.689655172413794,1.0,90.32258064516128,17.338709677419356,54.659822033794875,35.483870967741936,99.87071191609832,47.58064516129033,37.634408602150536,51.61175195126897,Moderate
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2019-08-01,2,2,2,37412.0,74824,326.5,0,0.33921380632790027,0.7612655800575263,0.0,opSimulation-2019-08,Public repository-derived,19.35483870967742,39.516129032258064,3.225806451612897,48.3861003429279,3.225806451612897,100.0,41.379310344827594,1.0,90.32258064516128,11.290322580645158,30.99707237978946,3.225806451612897,74.19305017146395,47.58064516129033,49.73118279569892,37.812218058637775,Low
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2019-09-01,1,1,1,863.0,863,33.0,0,0.476878612716763,0.6358381502890174,0.0,opSimulation-2019-09,Public repository-derived,7.258064516129033,15.32258064516129,38.70967741935484,99.92592142219688,32.25806451612904,100.0,68.9655172413793,1.0,90.32258064516128,19.758064516129036,69.20037202764367,35.483870967741936,99.96296071109845,49.19354838709677,37.634408602150536,55.14315041871616,Moderate
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2019-11-01,2,2,1,73499.0,146998,598.0,1,0.16388489208633095,0.9646762589928057,0.5,opSimulation-2019-11,Public repository-derived,19.35483870967742,15.32258064516129,0.0,0.0,0.0,0.0,17.241379310344826,0.5,55.64516129032258,9.67741935483871,5.747126436781609,0.0,0.0,5.10752688172043,30.10752688172043,7.883296255098257,Low
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2019-12-01,9,9,2,37303.666666666664,335733,295.22222222222223,1,0.5031662052701733,0.5311175991747545,0.1111111111111111,opSimulation-2019-12,Public repository-derived,62.903225806451616,39.516129032258064,4.838709677419345,0.0,4.838709677419345,43.50282485875705,86.20689655172414,0.2222222222222222,22.58064516129032,33.87096774193548,30.348535409714497,4.838709677419345,21.751412429378526,29.28588785614482,41.666666666666664,26.86932435914355,Low
opSimulation,https://gitlab.eclipse.org/eclipse/openpass/opSimulation.git,2020-01-01,3,3,1,17021.0,51063,166.66666666666666,1,1.0,1.0,0.3333333333333333,opSimulation-2020-01,Public repository-derived,29.03225806451613,15.32258064516129,11.290322580645167,64.99158229745623,12.903225806451616,0.0,6.896551724137936,0.3333333333333333,37.096774193548384,20.967741935483872,27.726152200746444,12.096774193548391,32.49579114872812,9.408602150537634,27.150537634408604,22.487937056991683,Low
